Title,Artist,Nationality,GenderMFU,DateAcquired
Duplicate of plate from page 160 from (Prospectus for) Réincarnations du Père Ubu,Georges Rouault, French ,M,12/3/37
Duplicate of in-text plate from page 99 from (Prospectus for) Réincarnations du Père Ubu,Georges Rouault, French ,M,12/3/37
Variant of frontispiece from (Prospectus for) Réincarnations du Père Ubu,Georges Rouault, French ,M,12/3/37
The Palace of King Ubu,Hans Bellmer, German ,M,12/3/37
Admiration of the Orchestrelle for the Cinematograph,Man Ray (Emmanuel Radnitzky), American ,M,12/3/37
Birth of Birds,André Masson, French ,M,12/3/37
Figure,"Cadavre Exquis, André Breton, Max Morise, Jeannette Ducrocq Tanguy, Pierre Naville, Benjamin Péret, Yves Tanguy, Jacques Prévert"," French, French, French, French, French, French, American, French ",F,12/3/37
Untitled,Yves Tanguy, American ,M,12/3/37
Head of a Man with a Hat,Pablo Picasso, Spanish ,M,12/3/37
The Author of the Book Fourteen Letters of Christ in His Home (Der Verfasser das Buches Vierzehn Briefe Christi in seinem Heim),Johannes Baader, German ,M,12/3/37
Untitled (Beetles),Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald), German ,M,12/3/37
"The Human Eye and a Fish, The Latter Petrified (Das menschliche Auge und ein Fisch, letzterer verseinert)",Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald), German ,M,12/3/37
Farewell My Beautiful Land of Marie Laurencin (Adieu mon beau pays de Marie Laurencin),Max Ernst, French ,M,12/3/37
The Gramineous Bicycle Garnished with Bells the Dappled Fire Damps and the Echinoderms Bending the Spine to Look for Caresses (La Biciclette graminée garnie de grelots les grisous grivelés et les échinodermes courbants l'échine pour quêter des caresses),Max Ernst, French ,M,12/3/37
"Stratified Rocks, Nature's Gift of Gneiss Lava Iceland Moss 2 kinds of lungwort 2 kinds of ruptures of the perinaeum growths of the heart b) the same thing in a well-polished little box somewhat more expensive (schichtgestein naturgabe aus gneis lava isländisch moos 2 sorten lungenkraut 2 sorten dammriss/herzgewächse b) dasselbe in fein poliertem kästchen etwas teurer)",Max Ernst, French ,M,12/3/37
Landscape,"Cadavre Exquis, Valentine Hugo, André Breton, Tristan Tzara, Greta Knutson"," French, French, French, French, Swedish ",F,12/3/37
Here Everything Is Still Floating (Hier ist noch alles in der Schwebe),Max Ernst, French ,M,12/3/37
The Red King (Le Roi rouge),Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald), German ,M,12/3/37
Dada Movement (Mouvement Dada),Francis Picabia, French ,M,12/3/37
Untitled (Collage with Squares Arranged according to the Laws of Chance),Jean (Hans) Arp, French ,M,12/3/37
